Unnamed: 0,book_name,summaries,categories
370,Dark Money, dives into the depths of the greed and corruption in the American political system by revealing the story of the Koch brothers who have been enabling the ultra-wealthy to influence political decisions for decades.,politics
371,Food Fix, will help you eat healthier and improve the environment at the same time by explaining how bad our food is for us and our planet and what we can each do to fix these problems.,politics
372,Age Of Anger, will help you understand the current state of the world better by explaining how we got to this present situation of upheaval we’re in and how we might stand a chance of making things better.,politics
373,How To Be An Antiracist," will make you a better, kinder, and more fair person by revealing how deeply ingrained racism is in our society and outlining what we can all do to annihilate it completely.",politics
374,Capitalism, shows you how the movement of money in the world really works by outlining the dominant system in the world and its origins and future.,politics
375,Capitalism And Freedom, helps you understand some of the most important factors protecting your liberty by outlining the government’s role in economics and how things go best when political entities are small and stay out of the flow of money in a country.,politics
376,Cradle To Cradle," uncovers the hidden problems with manufacturing, how they affect our planet, and what you can do to help by becoming eco-efficient.",politics
377,Comfortably Unaware, is a well-researched compendium on how our food choices and animal agriculture impact the well-being of the whole planet.,politics
378,Impeachment, is your guide to understanding how the US government has the power to remove a president and reviews the events surrounding past evictions of the commander-in-chief. ,politics
379,The Road To Serfdom," helps you keep your freedoms and individuality by taking a stand against socialism, identifying its risks to turn into totalitarianism, and why this was especially important after WWII.",politics
380,Crippled America, makes you a more informed citizen by sharing the political beliefs and reasoning behind billionaire and businessman Donald J. Trump’s plans to make his country great again.,politics
381,Fear," takes an inside look through the eyes of journalist, Bob Woodward",politics
382,Brotopia, motivates you to be fairer in the workplace as an employee or employer by revealing the sad sexist state of Silicon Valley.,politics
383,Braiding Sweetgrass, offers some great ways for all of us to take better care of and be more grateful for our planet by explaining the way that Native Americans view and take care of it.,politics
384,Pandemic," gives you an understanding of what pathogens and diseases are, how they evolve, what our lifestyle does to make them worse on us, how they can spread like wildfire, and most importantly, what we can do to stop them.",politics
385,Chasing The Scream," is a scathing review of the failed war on drugs, explaining its history with surprising statistics and identifying new ways that we can think about addiction, recovery, and drug laws.",politics
386,Common Sense, is a classic piece of US history that will help you see the importance of societies coming together to form a fair governmental system and how these ideas paved the way for the American revolution.,politics
387,Age Of Ambition, explains how China has gone from impoverished and only developing to a world superpower and economic powerhouse in only the last 30 years. ,politics
388,Chernobyl," teaches some fascinating and important history, science, and leadership lessons by diving into the details of the events leading up to the worst nuclear disaster in human history and its aftermath.",politics
389,The Power Paradox," frames the concept of power in an inspiring new narrative, which can help us create better and more equal relationships, workplaces, and societies.",politics
390,Between The World And Me, helps us all fight prejudice and prepares young black men in the US for growing up by revealing Ta-Nehisi Coates’s reality of life as a black man dealing with racism in America.,politics
391,Born A Crime, will inspire you to make great things happen no matter what circumstances you’re born into by revealing the story of how Trevor Noah grew up as a mixed child in South Africa on the way to becoming an adult.,politics
392,Behind The Beautiful Forevers," will make you more grateful for what you have, look for ways to tear down corruption in the world, and help the poor by sharing the experiences of people living in the Annawadi slum in India.",politics
393,Becoming," will use Michelle Obama’s life story to motivate you to move forward with your dreams regardless of your circumstances, criticism, or what people think.",politics
394,Alexander Hamilton," will inspire you to boldly use your strengths to change the world as it tells the story of a poor orphan who grew to become one of the most intelligent, ambitious, and influential people in American history.",politics
395,A Woman of No Importance," tells the fascinating and exciting story of Virginia Hall, an American who became one of the best spies for the Allies in World War II and helped significantly in the defeat of Nazi Germany.",politics
396,A World In Disarray, will open your mind to new ways of making the world a more peaceful place by guiding you through the major changes in global affairs since World War II.,politics
397,Call Sign Chaos," is a review of US foreign policy through the eyes of General Jim Mattis, who led forces in Afghanistan and Iraq.",politics
398,23 Things They Don’t Tell You About Capitalism, will help you think more clearly about our current economic state by uncovering the hidden consequences of free-market capitalism and offering solutions that could give us all a more fair world.,politics
399,A Crack In Creation," will teach you all about the power of gene editing that is made possible with CRISPR by detailing how it works, the benefits and opportunities it opens up, and the ethical risks of using it on humans.",politics
400,A Vindication Of The Rights Of Woman, will help you make the world a more fair place by teaching some of the gender inequalities of the eighteenth century.,politics
401,A People’s History Of The United States," will help you improve the world by giving you a better understanding of the true, sometimes shameful, story of this America’s rise to power.",politics
